Algorithm,Array Size,Execution Number,Swaps,Time (seconds)
Quick Sort,50000,1,625024999,3.663034
Quick Sort,50000,2,625024999,3.648360
Quick Sort,50000,3,625024999,3.703333
Selection Sort,50000,1,1249975000,5.106620
Selection Sort,50000,2,1249975000,4.967924
Selection Sort,50000,3,1249975000,5.037209
Bubble Sort,50000,1,1249975000,5.735137
Bubble Sort,50000,2,1249975000,5.737499
Bubble Sort,50000,3,1249975000,5.678403
Insertion Sort,50000,1,1250024999,2.571927
Insertion Sort,50000,2,1250024999,2.452127
Insertion Sort,50000,3,1250024999,2.538529
Quick Sort,100000,1,2500049999,14.704350
Quick Sort,100000,2,2500049999,14.496468
Quick Sort,100000,3,2500049999,14.526654
Bubble Sort,100000,1,4999950000,22.615686
Bubble Sort,100000,2,4999950000,22.617375
Bubble Sort,100000,3,4999950000,22.596821
Selection Sort,100000,1,4999950000,19.975523
Selection Sort,100000,2,4999950000,20.015769
Selection Sort,100000,3,4999950000,20.217472
Insertion Sort,100000,1,5000049999,9.838549
Insertion Sort,100000,2,5000049999,9.877445
Insertion Sort,100000,3,5000049999,9.825514
